Goal #,Goal
1,"By 2040, the percent (%) of total linear key habitat connected for anadromous salmon will increase from 92% to 96% within the Horsefly River watershed (i.e., reconnect at least 14.77 km of habitat)."
2,"By 2024, the total area of overwintering habitat connected for anadromous salmon will increase by 1,500 m2 within the Horsefly River watershed."
