Barrier Id,Modelled Crossing Id,Watercourse Name,Road Name,Structure Type,Reason,Notes,Supporting Links
126510,6800259.0,Trib to Horsefly River,unnamed,Stream crossing - CBS,"Noted as medium quality habitat in 2014 but down-graded to low during habitat confirmation. No defined channel upstream, 15% gradient downstream of culvert, series of natural 0.6 m high drops over small woody debris downstream with no plunge pools, no spawning substrates present.",,
197701,6800548.0,Trib to McKinley Creek,unnamed,Stream crossing - CBS,"No suitable habitat: no connectivity to stream, poor spawning and overwintering  habitat, moderate rearing potential",,
